역이름,역지역,위도,경도,호선
낙성대,수도권,37.47708963,126.9635058,2호선
구룡,수도권,37.48702744,127.0594749,분당선
서울대입구,수도권,37.4812845,126.9526951,2호선
불광,수도권,37.61004419,126.9303022,3호선
월롱,수도권,37.79620379,126.7925632,경의선
안국,수도권,37.57649291,126.9854192,3호선
부발,수도권,37.2603924,127.490308,경강선
강변,수도권,37.53511805,127.094723,2호선
영등포구청,수도권,37.52583052,126.8966683,2호선
동대입구,수도권,37.55905041,127.0052968,3호선
잠실새내,수도권,37.51160835,127.0863007,2호선
당산,수도권,37.5347735,126.9026073,2호선
약수,수도권,37.55449098,127.0108871,3호선
충정로,수도권,37.55974797,126.9644842,2호선
녹번,수도권,37.60080316,126.9358144,3호선
종합운동장,수도권,37.51113026,127.0738359,2호선
합정,수도권,37.54990144,126.9144473,2호선
금호,수도권,37.54825552,127.0158201,3호선
홍대입구,수도권,37.55686353,126.923765,2호선
홍제,수도권,37.58878817,126.944158,3호선
옥수,수도권,37.54155186,127.0173802,3호선
압구정,수도권,37.52648497,127.028486,3호선
삼성,수도권,37.50881193,127.0630209,2호선
신답,수도권,37.56983509,127.0470665,2호선
신사,수도권,37.51643147,127.0202927,3호선
가정중앙시장,수도권,37.51752274,126.6768052,인천2호선
선릉,수도권,37.50449378,127.0489481,2호선
신정네거리,수도권,37.5202159,126.852876,2호선
지축,수도권,37.64814503,126.9138361,3호선
구파발,수도권,37.63641776,126.9188347,3호선
연신내,수도권,37.61919243,126.9210962,3호선
무악재,수도권,37.58255602,126.950231,3호선
독립문,수도권,37.57446808,126.9579114,3호선
경복궁,수도권,37.5757881,126.9736687,3호선
종로3가,수도권,37.57042084,126.9921442,3호선
을지로3가,수도권,37.56627618,126.9909675,3호선
동오,수도권,37.74525189,127.0569805,의정부경전철
역삼,수도권,37.50066001,127.0364604,2호선
강남,수도권,37.49808544,127.0279777,2호선
교대,수도권,37.49273596,127.0138634,2호선
방배,수도권,37.48145613,126.9975353,2호선
사당,수도권,37.47655322,126.9815495,2호선
봉천,수도권,37.48246891,126.941682,2호선
신림,수도권,37.48426443,126.9297409,2호선
신대방,수도권,37.48764145,126.9135007,2호선
구로디지털단지,수도권,37.48525337,126.9014731,2호선
신도림,수도권,37.50890487,126.891308,2호선
문래,수도권,37.51797209,126.8947562,2호선
신촌,수도권,37.55519546,126.9369627,2호선
이대,수도권,37.5568039,126.9464228,2호선
아현,수도권,37.55740257,126.9561329,2호선
잠원,수도권,37.51288271,127.0114014,3호선
고속터미널,수도권,37.50453984,127.0051346,3호선
교대,수도권,37.49273596,127.0138634,3호선
남부터미널,수도권,37.48518522,127.0161912,3호선
양재,수도권,37.48456871,127.034146,3호선
매봉,수도권,37.48692506,127.0466979,3호선
효자,수도권,37.75397977,127.0772084,의정부경전철
까치산,수도권,37.53222704,126.8464262,2호선
시청,수도권,37.56533728,126.9771812,2호선
을지로입구,수도권,37.5660229,126.982184,2호선
을지로3가,수도권,37.56627618,126.9909675,2호선
을지로4가,수도권,37.5666369,126.997623,2호선
동대문역사문화공원,수도권,37.56564549,127.0089872,2호선
신당,수도권,37.56566224,127.0194685,2호선
한양대,수도권,37.55570879,127.0436172,2호선
뚝섬,수도권,37.54723796,127.0473692,2호선
성수,수도권,37.54458522,127.0560579,2호선
건대입구,수도권,37.54039761,127.0692029,2호선
구의,수도권,37.53716086,127.0861718,2호선
잠실나루,수도권,37.5206944,127.1037997,2호선
잠실,수도권,37.51330927,127.1002152,2호선
