호선명,역명,미세먼지_PM-10(140 ㎍/㎥ 이하),이산화탄소_CO2 (1000 ppm 이하),포름알데히드_HCHO(100 ㎍/㎥ 이하),일산화탄소_CO(9 ppm이하)
1호선,서울역,70.5 ,606 ,4.0 ,0.8
1호선,시청,54.7 ,581 ,4.4 ,0.7
1호선,종각,82.9 ,471 ,11.5 ,0.7
1호선,종로3가,70.4 ,481 ,11.0 ,1.0
1호선,종로5가,70.2 ,597 ,5.7 ,0.8
1호선,동대문,49.4 ,624 ,5.4 ,1.0
1호선,동묘앞,62.4 ,556 ,3.4 ,0.7
1호선,신설동,75.9 ,645 ,3.2 ,0.6
1호선,제기동,71.3 ,533 ,3.7 ,0.8
1호선,청량리,65.6 ,572 ,4.3 ,1.1
2호선,시청,81.4 ,638 ,7.6 ,0.7
2호선,을지로입구,72.4 ,614 ,7.2 ,0.6
2호선,을지로3가,44.4 ,470 ,3.6 ,1.3
2호선,을지로4가,71.4 ,521 ,3.5 ,1.0
2호선,동대문역사문화공원,49.2 ,458 ,3.1 ,0.5
2호선,신당,52.6 ,582 ,3.6 ,1.4
2호선,상왕십리,43.8 ,592 ,4.3 ,0.6
2호선,왕십리,55.2 ,587 ,5.1 ,0.6
2호선,잠실,48.6 ,579 ,7.3 ,0.7
2호선,잠실새내,40.4 ,589 ,5.5 ,0.6
2호선,종합운동장,37.5 ,539 ,5.0 ,0.6
2호선,삼성,59.4 ,801 ,4.3 ,0.9
2호선,선릉,133.6 ,707 ,7.2 ,0.8
2호선,역삼,65.6 ,660 ,8.1 ,0.6
2호선,강남,52.3 ,766 ,5.1 ,0.8
2호선,교대,46.6 ,702 ,4.7 ,0.8
2호선,서초,81.2 ,534 ,4.5 ,0.5
2호선,방배,96.0 ,559 ,5.4 ,0.5
2호선,사당,53.6 ,683 ,2.3 ,0.8
2호선,낙성대,78.9 ,552 ,2.8 ,0.5
2호선,서울대입구,91.0 ,664 ,5.9 ,0.7
2호선,봉천,94.7 ,749 ,7.5 ,0.5 
2호선,신림,88.9 ,671 ,4.9 ,0.8 
2호선,신도림,75.1 ,734 ,4.5 ,0.4 
2호선,문래,74.3 ,551 ,5.9 ,0.7 
2호선,도림천,42.5 ,508 ,4.3 ,0.5 
2호선,양천구청,41.8 ,525 ,4.2 ,0.4 
2호선,신정네거리,38.4 ,507 ,6.0 ,0.4 
2호선,영등포구청,104.8 ,568 ,8.7 ,0.7 
2호선,합정,63.6 ,640 ,12.0 ,0.8 
2호선,홍대입구,40.0 ,932 ,11.4 ,0.9 
2호선,신촌,93.6 ,735 ,9.9 ,0.9 
2호선,이대,79.9 ,558 ,7.7 ,0.6 
2호선,아현,66.9 ,518 ,3.6 ,0.7 
2호선,충정로,53.1 ,514 ,4.9 ,0.7 
2호선,신설동,25.6 ,486 ,2.3 ,0.3 
2호선,용두,20.0 ,489 ,3.1 ,0.5 
3호선,구파발,49.1 ,515 ,3.7 ,0.5 
3호선,연신내,65.5 ,562 ,5.0 ,0.5 
3호선,불 광,58.1 ,551 ,6.0 ,0.5 
3호선,녹 번,47.3 ,512 ,5.6 ,0.4 
3호선,홍 제,65.1 ,602 ,9.0 ,0.9 
3호선,무악재,57.8 ,538 ,10.2 ,0.6 
3호선,독립문,91.2 ,511 ,7.3 ,0.7 
3호선,경복궁,89.9 ,662 ,19.7 ,0.8 
3호선,안 국,29.9 ,533 ,6.0 ,0.5 
3호선,종로3가,56.4 ,720 ,4.0 ,0.8 
3호선,을지로3가,38.7 ,580 ,4.4 ,0.7 
3호선,충무로,82.8 ,681 ,5.0 ,0.7
3호선,동대입구,42.6 ,487 ,8.3 ,0.5
3호선,약 수,52.8 ,574 ,5.3 ,0.6
3호선,금 호,79.5 ,506 ,3.9 ,0.5
3호선,압구정,53.5 ,715 ,6.1 ,0.7
3호선,신 사,80.1 ,615 ,2.6 ,0.7
3호선,잠 원,51.7 ,474 ,3.8 ,0.5
3호선,고속터미널,60.7 ,925 ,16.4 ,1.2
3호선,교 대,77.3 ,684 ,7.2 ,0.8
3호선,남부터미널,36.6 ,583 ,3.4 ,0.7
3호선,양 재,73.8 ,677 ,6.4 ,0.7
3호선,매 봉,71.6 ,599 ,9.1 ,0.9
3호선,도 곡,130.1 ,620 ,8.3 ,0.6
3호선,대 치,30.1 ,476 ,2.2 ,0.7
3호선,학여울,22.5 ,500 ,2.8 ,0.5
3호선,대 청,29.6 ,488 ,1.6 ,0.5
3호선,일 원,33.3 ,495 ,2.4 ,0.5
3호선,수 서,40.1 ,533 ,1.4 ,0.6
3호선,가락시장,50.9 ,633 ,3.1 ,0.5
3호선,경찰병원,46.7 ,499 ,7.1 ,0.5
3호선,오 금,37.5 ,471 ,8.8 ,0.5
4호선,쌍문,48.2 ,502 ,8.6 ,0.6 
4호선,수유,108.9 ,576 ,10.7 ,0.5 
4호선,미아,135.1 ,464 ,9.2 ,0.6 
4호선,미아사거리,97.4 ,559 ,10.6 ,0.3 
4호선,길음,44.5 ,504 ,5.1 ,0.3 
4호선,성신여대입구,43.3 ,521 ,4.9 ,0.3 
4호선,한성대입구,56.2 ,469 ,2.7 ,0.7 
4호선,혜화,95.9 ,615 ,4.4 ,0.4 
4호선,동대문,113.6 ,675 ,8.3 ,0.9 
4호선,동대문역사문화공원,64.2 ,609 ,7.7 ,0.7 
4호선,충무로,84.2 ,626 ,8.5 ,0.8 
4호선,명동,87.7 ,832 ,13.4 ,0.8 
4호선,회현,49.0 ,602 ,6.3 ,0.7 
4호선,서울역,52.2 ,495 ,5.6 ,0.7 
4호선,숙대입구,60.1 ,419 ,5.6 ,1.0 
4호선,삼각지,33.6 ,452 ,4.9 ,0.7 
4호선,신용산,31.4 ,420 ,3.8 ,1.1 
4호선,이촌,39.8 ,420 ,3.8 ,0.7 
4호선,총신대입구,62.2 ,516 ,6.6 ,0.5 
4호선,사당,64.1 ,602 ,6.3 ,0.5 
4호선,남태령,56.3 ,518 ,4.8 ,0.3 
5호선,방화,30.4 ,458 ,2.0 ,0.8 
5호선,개화산,22.5 ,436 ,4.0 ,1.2 
5호선,김포공항,71.5 ,521 ,14.4 ,1.3 
5호선,송정,128.4 ,532 ,12.7 ,1.3 
5호선,마곡,60.5 ,459 ,10.7 ,0.9 
5호선,발산,98.6 ,478 ,10.7 ,1.7 
5호선,우장산,49.2 ,517 ,3.1 ,0.8 
5호선,화곡,49.3 ,447 ,6.2 ,1.1 
5호선,까치산,67.4 ,552 ,8.2 ,1.1 
5호선,신정,53.6 ,468 ,5.1 ,1.1 
5호선,목동,41.7 ,451 ,3.3 ,0.8 
5호선,오목교,120.4 ,602 ,5.0 ,1.1 
5호선,양평,70.0 ,496 ,7.1 ,0.9 
5호선,영등포구청,54.7 ,575 ,12.5 ,1.2 
5호선,영등포시장,58.2 ,540 ,8.8 ,1.0 
5호선,신길,58.6 ,551 ,9.1 ,1.0 
5호선,여의도,86.6 ,809 ,11.2 ,1.3 
5호선,여의나루,99.8 ,436 ,8.3 ,1.4 
5호선,마포,56.0 ,514 ,27.7 ,1.4 
