,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
100,20220101,0,30509.7386,1884.2082,548.6298,635.1617,816.168599999999,1140.0136,1310.31089999999,1528.21,1490.5116,1404.8348,1065.0661,1057.0032,889.5448,622.697999999999,1221.43249999999,1681.9562,451.658099999999,616.111899999999,855.6538,1034.3335,1210.265,1427.1433,1218.2473,1167.4485,823.902,1032.16509999999,872.884999999999,767.0226,1737.15509999999
431,20220101,1,30759.5067,1918.533,558.624199999999,665.6793,822.691,1159.5614,1293.135,1542.75859999999,1485.23229999999,1410.60359999999,1091.6283,1027.20139999999,881.2867,620.6891,1200.7533,1800.11619999999,483.3877,587.285399999999,881.7223,1072.8086,1193.74759999999,1403.57189999999,1248.77649999999,1180.9186,838.532299999999,998.1091,862.304099999999,776.790799999999,1753.0597
922,20220101,2,31048.8787,2068.1943,602.201299999999,680.829399999999,819.7141,1164.58189999999,1331.9311,1537.8207,1493.3085,1417.3893,1071.1076,1012.9047,877.960699999999,625.583499999999,1230.8359,1702.05109999999,457.054199999999,613.4695,885.7245,1090.9845,1208.32809999999,1410.2452,1268.6557,1197.7707,840.679899999999,1026.54019999999,882.284599999999,772.8478,1757.8801
1337,20220101,3,31076.1091999999,1951.7702,568.3016,690.984699999999,804.2219,1180.7028,1336.8848,1542.4681,1474.22579999999,1451.9811,1074.2364,1033.1438,870.597999999999,621.8739,1230.969,1703.89079999999,457.5482,605.342899999999,928.031399999999,1104.38789999999,1224.9349,1414.41619999999,1275.0993,1207.1428,856.1711,1042.1205,891.609199999999,785.155999999999,1747.89529999999
1765,20220101,4,31714.9308999999,2058.5797,599.401899999999,708.3313,847.9704,1168.0681,1355.7735,1586.01209999999,1506.2284,1468.17689999999,1117.74229999999,1091.8969,955.711699999999,634.920799999999,1222.7152,1633.5911,438.670599999999,657.3056,935.7667,1152.12349999999,1269.6214,1442.11629999999,1296.659,1206.59719999999,875.1503,1052.56559999999,877.683599999999,795.078899999999,1760.47129999999
2229,20220101,5,33368.3456,2201.1593,640.9171,729.5234,888.863399999999,1232.33269999999,1420.7251,1654.1197,1597.5486,1564.2914,1249.3542,1202.8293,1005.6061,671.38,1243.37809999999,1697.52389999999,455.8385,657.5954,1022.39649999999,1246.4293,1353.97759999999,1487.3658,1352.9555,1298.59179999999,946.2756,1104.0372,893.9283,794.863399999999,1754.5386
2919,20220101,6,34962.7828,2327.0232,677.565299999999,794.909899999999,911.6037,1310.95419999999,1458.92249999999,1738.7327,1651.4009,1572.69689999999,1303.115,1347.8444,1070.8633,697.7174,1164.3251,1928.4751,517.856199999999,692.1633,1073.21149999999,1345.3167,1394.6684,1545.2366,1441.02379999999,1378.7674,1039.5649,1115.8314,887.451,792.500099999999,1783.04209999999
3103,20220101,7,34948.9643999999,2323.4503,676.5249,759.156899999999,956.519199999999,1284.28569999999,1449.61629999999,1731.1204,1655.4739,1548.82459999999,1315.5145,1271.60349999999,1062.8403,706.501899999999,1172.21129999999,1970.70679999999,529.1965,746.2817,1150.49569999999,1373.2463,1408.5135,1548.8208,1396.74929999999,1340.806,1030.6455,1137.1065,914.0524,805.704899999999,1682.99569999999
3516,20220101,8,34311.2156,2131.2873,620.5719,772.3088,918.372799999999,1300.7562,1464.3207,1725.4896,1642.51569999999,1486.2089,1241.6411,1239.1288,1042.2596,715.2228,1154.59089999999,1966.3637,528.0303,735.9125,1104.6667,1362.1137,1396.4358,1590.2351,1370.0062,1337.0045,1004.2041,1099.768,892.556199999999,810.2563,1658.9864
4021,20220101,9,33966.982,1978.7427,576.155399999999,741.0592,938.5837,1334.2779,1503.99,1747.1382,1657.9337,1498.4023,1254.41619999999,1194.33279999999,1040.3747,734.428999999999,1132.1258,1789.213,480.459999999999,736.1968,1140.6983,1368.71229999999,1431.5829,1615.4428,1395.2084,1250.0378,963.088799999999,1112.2464,863.2535,778.4274,1710.453
