1d,7d
31385.6529,31535.22
31403.0169,31188.9174
31549.9889,31240.4974
31738.8546,31442.4314
32380.1733,31922.7751
34573.3603,33633.7304
36753.0028,34876.8006
37510.361,35358.9775
38492.6412,36038.7688
39975.3064,37353.1794
38790.3794,37534.7596
38089.6549,38257.1671
37536.3024,38423.5288
37228.8064,37666.9073
37143.3076,37287.4833
37312.1907,38144.0804
36223.276,37444.9623
37382.3598,37292.5709
36637.7186,38139.016
35429.3227,37368.8302
33622.2645,35517.19
33035.6815,34695.343
32748.6899,35035.7382
31182.6156,30863.1777
30716.3268,31290.0276
30673.4813,31221.5248
30535.9573,31283.4217
30884.0372,31384.6021
31353.9409,32104.6669
33328.1845,34465.2673
35186.4476,37705.5453
36201.8793,41511.6776
36877.8836,42566.7676
38097.4859,43534.1848
38116.7828,43577.5234
37812.0156,43342.2563
37918.6504,42554.6008
37434.6434,42651.7712
37743.1856,42763.4909
37807.5943,42346.906
37211.9953,40648.5868
37267.4309,40071.5613
38881.4816,39061.4704
36843.4156,36533.0932
35124.1092,34842.5358
34224.8794,34450.9914
33838.5189,33903.5415
31712.7214,31039.5262
31689.4183,30901.7698
31520.1055,31307.8586
31500.9273,31445.5028
31979.4284,31688.0755
32683.8133,32347.5018
35425.3696,34922.3108
39506.6157,38159.7213
43243.5093,42291.68
42807.052,43834.2089
43645.0483,44622.7285
43066.7474,44040.1988
42399.4578,42872.1977
42655.5729,43807.122
42489.1603,43009.6732
41273.9866,42452.7452
40574.3817,41273.0951
40747.8758,40605.5237
40344.757,40203.3517
38434.6329,38287.1536
36077.4475,36627.1066
34578.9832,34924.4279
34094.2984,34101.3466
33168.0516,33941.2877
30918.0343,31263.6989
31080.9062,31231.2171
31030.9363,31506.3546
31218.9414,31418.0406
31276.9774,31548.5732
31905.86,32544.3337
34585.2221,34788.2773
37853.4579,38151.2925
41912.7658,41466.8197
43235.4032,43346.0025
43419.2897,44074.8222
42789.428,43887.0295
41488.0503,43183.9654
41482.601,42826.0505
41150.4673,42007.9573
41241.7946,41237.2808
40619.1805,40799.1971
39391.4422,40626.2834
39293.5951,39704.2554
38035.2915,38743.8425
36044.3603,36571.1664
34533.0279,34876.5869
33856.9784,33529.3087
33497.8815,33238.8095
31267.2032,31415.9743
31030.4014,31272.4012
30898.8214,31329.6434
31248.4282,31563.8639
31344.9793,31704.274
31663.2711,32307.5225
33891.7659,34831.8964
36956.7645,37678.0652
40677.9182,41237.5495
41815.3549,42219.9656
42355.9603,42915.813
42789.6971,42973.4965
41725.9733,41879.1942
41165.3752,42437.5728
41691.8789,41977.1781
41204.1226,42960.2442
40305.7669,42285.8552
39387.4138,41616.6778
38099.8818,39544.9156
37326.147,38307.7549
36074.1422,37383.4899
34675.7595,35592.7151
33847.6957,33802.493
33666.7012,34503.2068
31221.3852,31186.8926
31157.9391,31177.4801
31117.9256,31151.5534
31199.4812,31303.1899
31620.7992,31533.321
31985.7184,32179.7923
34843.7421,34962.9419
38146.9482,37317.0408
41896.103,41333.4683
42358.6044,41808.4749
42257.9663,42381.3161
42430.4974,41793.1228
41986.5962,40566.6012
41782.7873,41548.0676
41173.1408,41609.1784
41560.1657,41349.2458
40920.1892,40555.2319
41041.1395,39575.2688
40295.581,39965.1425
37999.0246,38590.2829
35599.5831,35565.6101
34215.0531,34070.4123
34193.4807,33953.8626
33055.9118,33826.8625
31307.7581,31534.381
31255.2876,31385.6529
31371.9212,31403.0169
31441.2575,31549.9889
31683.4694,31738.8546
32550.5167,32380.1733
35011.475,34573.3603
38326.3256,36753.0028
42132.499,37510.361
42553.5751,38492.6412
43507.0137,39975.3064
42646.9099,38790.3794
42047.169,38089.6549
41733.7302,37536.3024
41611.7235,37228.8064
42298.8908,37143.3076
41390.3016,37312.1907
41510.4474,36223.276
40994.1459,37382.3598
39498.0532,36637.7186
37049.5972,35429.3227
35385.7908,33622.2645
34944.9015,33035.6815
34121.0614,32748.6899
32023.5557,31182.6156
31704.505,30716.3268
31993.8848,30673.4813
32243.7984,30535.9573
32490.5872,30884.0372
33331.2848,31353.9409
35629.6576,33328.1845
37653.0583,35186.4476
38371.6266,36201.8793
38459.9502,36877.8836
40211.2446,38097.4859
39619.897,38116.7828
39275.8994,37812.0156
39374.1788,37918.6504
38961.0764,37434.6434
38213.6683,37743.1856
37221.7684,37807.5943
36195.512,37211.9953
36374.925,37267.4309
36245.1751,38881.4816
35091.5124,36843.4156
33201.2776,35124.1092
32805.4089,34224.8794
32589.8857,33838.5189
30788.0812,31712.7214
30215.751,31689.4183
30197.7155,31520.1055
30298.9381,31500.9273
30619.1491,31979.4284
31260.2082,32683.8133
32797.289,35425.3696
34735.2049,39506.6157
35062.8102,43243.5093
36195.5188,42807.052
37881.851,43645.0483
37412.6094,43066.7474
37170.1126,42399.4578
38319.7248,42655.5729
37351.9051,42489.1603
37680.0368,41273.9866
38046.0402,40574.3817
36823.3798,40747.8758
36948.3676,40344.757
37393.1549,38434.6329
36857.1387,36077.4475
34980.223,34578.9832
34019.5506,34094.2984
34026.538,33168.0516
31016.14,30918.0343
31100.9122,31080.9062
31032.6085,31030.9363
31184.4456,31218.9414
31403.618,31276.9774
32133.8614,31905.86
34590.0417,34585.2221
38034.5702,37853.4579
41928.7571,41912.7658
42890.4429,43235.4032
44315.4374,43419.2897
43605.7633,42789.428
43605.8521,41488.0503
43403.3678,41482.601
42268.0428,41150.4673
41690.8256,41241.7946
41392.1566,40619.1805
40438.906,39391.4422
