,0
0,38855.59915917676
1,38987.72140540038
2,38740.38740287335
3,38598.275224854995
4,38613.38652218938
5,38420.964973428316
6,38605.96572583149
7,38465.321156783444
8,38401.30254321043
9,38059.29890434061
10,37774.02713773715
11,37594.62436578648
12,37529.06209211457
13,37134.7898192934
14,36623.586387764815
15,36579.725469194185
16,36378.1256509334
17,35977.82078223476
18,35909.35911002681
19,35716.164717248306
20,35449.46818117965
21,35661.73866376742
22,35822.09577883786
23,37498.261253194774
24,38884.02952166474
25,38604.839360658705
26,38042.36603314661
27,38070.068664060476
28,38006.63520959133
29,38018.085591557596
30,38147.612122907776
31,38288.83735069863
32,38776.67320447951
33,38454.18506766488
34,38270.9352770964
35,37836.93807104784
36,37827.01940807883
37,37640.315920090354
38,37382.53747530468
39,36924.59187888319
40,36235.58341587686
41,36291.86241702922
42,36312.70360135903
43,35951.463158795144
44,36185.89465991026
45,36304.10152907473
46,36709.93458753689
47,38607.919826695994
48,39604.656307768804
49,39111.917233514796
50,38924.60023403698
51,38792.831623432605
52,38805.58630340129
53,38849.22548636486
54,38872.42223819053
55,39734.70440974764
56,39979.05661383386
57,39153.554725398804
58,38469.69932788141
59,38211.27106077866
60,38256.376115174266
61,37898.186242058015
62,37303.957881273425
63,36748.57346977914
64,36271.68036651918
65,36326.520018496565
66,36096.85786008761
67,36410.23352321432
68,36513.85216665282
69,36692.84190023707
70,37326.69661563723
71,38809.50982171687
72,39992.66106755718
73,39830.47376118337
74,39667.758125541724
75,39618.945005691814
76,39598.89313066116
77,39580.50311924856
78,39592.749747223665
79,40347.94935398275
80,40188.12802655871
81,39189.14245080787
82,38532.9233948576
83,38044.25030737607
84,37867.335183002906
85,37359.817797235875
86,36907.966758522045
87,35929.41918736801
88,35776.432758434705
89,35937.19616354625
90,36389.241666495975
91,36732.87295818915
92,36670.708989552375
93,36922.560226691494
94,37488.75825634035
95,39107.12231679236
96,40296.67224818283
97,40181.574683490035
98,40048.26214972357
99,40001.338332828076
100,40084.307013244164
101,40118.22382771229
102,40161.063561977164
103,40836.80373714655
104,39575.811212985594
105,38421.4811171343
106,37808.11965711411
107,37679.86463747005
108,37354.63924853346
109,36989.1734795525
110,36009.87213325045
111,35526.787341719355
112,35833.57657272767
113,36055.433731286575
114,36349.048535132155
115,36494.09086972233
116,36668.12634513034
117,36965.10840497752
118,37476.111467506824
119,39156.7010170753
120,40215.73548559896
121,40071.518389950616
122,39918.344022364174
123,39978.955910566
124,40060.626257882075
125,39924.45766701118
126,40031.055665393695
127,40234.138855885896
128,39051.49452046525
129,38217.62431374474
130,37556.31115569038
131,37149.22099338925
132,36952.547891306975
133,36440.839648019224
134,36209.74309980056
135,35679.98883864288
136,35715.70330471015
137,35749.39705730504
138,35929.29649804311
139,36148.22181631875
140,36088.05244740703
141,36568.32125099153
142,37057.65423730562
143,38542.97018186835
144,39846.117939354786
145,39658.01794259829
146,39580.31112071429
147,39397.38248048079
148,39447.656502737125
149,39316.61690391805
150,39428.17347174147
151,39000.052030264866
152,38817.56722697801
153,38188.67848043736
154,37821.782574940764
155,37139.60706640186
156,37020.29409036905
157,36681.42936064573
158,35935.67329278387
159,36159.9378566085
160,35993.292803799755
161,36053.06530077718
162,35939.7425874938
163,35778.05386363359
164,35821.40281421093
165,35817.85862966633
166,35861.90290675355
167,37504.75563289546
168,38775.030218919455
169,38847.97356113665
170,38566.98715917713
171,38543.799374477414
172,38562.20697956833
173,38353.45801148509
174,38281.0275532122
175,38240.76590776206
176,38043.527551746825
177,37950.16787307832
178,37494.59072942472
179,37241.73124947432
180,37033.23154419916
181,36772.26229685665
182,36693.999764164735
183,36209.98798008539
184,36138.392634038035
185,36216.318558359504
186,35911.738391963496
187,35833.847540292685
188,35797.203629934666
189,35864.33129969149
190,36015.61690607124
191,37628.9457614075
192,38815.32633631931
193,38520.05125379383
194,38383.81549418643
195,38453.20918633663
196,38378.24275731262
197,38405.255622660785
198,38464.22751453299
199,38850.35518004772
200,38623.43216299573
201,38379.438428644986
202,37831.89683842462
203,37445.330626080024
204,37602.996150508734
205,37499.59731082949
206,36840.395729511685
207,36274.81607038322
208,36156.34737989251
209,36123.75569018002
210,36094.68056245309
211,36348.2694643134
212,36174.184566046875
213,36434.18243493404
214,36811.86115487612
215,38558.11792032913
216,39882.944904738884
217,39641.400468833366
218,39528.85060447047
219,39437.45412320022
220,39445.21980772409
221,39420.732947995144
222,39408.18125267058
223,39948.22550944186
224,39325.51925899695
225,38155.986450192664
226,37309.00717451569
227,36836.35061028505
228,36583.87515100687
229,36036.852801768604
230,35623.01840014867
231,34813.05213165638
232,34960.266834932365
233,35406.10484780222
234,35756.81206572796
235,35928.15521137065
236,36157.10792476799
237,36416.58840249111
238,37064.74330239046
239,39004.90312821026
240,40118.40996982114
241,40006.90403727522
242,39892.92291139617
243,39843.915183302306
244,39903.98885000094
245,39869.0260487989
246,39959.29324767006
247,40362.04072208036
248,38970.23524906717
249,37677.15607814143
250,37169.17095135622
251,36492.11152481414
252,36224.47780388192
253,35934.12728979592
254,35068.2866133458
255,34597.28331921001
256,34829.15780672064
257,35061.09433334037
258,35547.13152172636
259,35766.03597980451
260,35857.43054418138
261,36475.02978430308
262,37077.63297431354
263,38831.84404349275
264,40094.80442031525
265,40039.2099732658
266,39858.685937875896
267,39838.7195021615
268,39856.517890928
269,39818.72019303907
270,39990.03346157073
271,39729.84730606686
272,38844.6934864332
273,37594.82728742758
274,36741.03405973376
275,36218.34572019229
276,36088.56360998765
277,35512.201051237185
278,34855.89974163951
279,34351.83448777794
280,34583.450840754056
281,35006.36953522594
282,35203.26929922887
283,35466.435078247676
284,35823.7571502336
285,36271.7416553105
286,36829.98399137543
287,38509.186810051324
288,40046.18388941925
289,39866.38280669204
290,39830.680041561216
291,39667.597887161224
292,39754.14330169008
293,39673.14667612791
294,39787.500807954864
295,39831.191990982814
296,38443.76108143446
297,37068.00158492353
298,36371.42182838377
299,36039.478354961924
300,35848.39338273064
301,35535.98229065232
302,34858.49746747431
303,34919.99454106546
304,34968.41642762688
305,35230.79075296997
306,35405.36751472547
307,35556.20374962974
308,35632.0444585384
309,35836.04136540121
310,36371.57351011521
311,38343.23446495977
312,39672.47996153209
313,39874.753626066304
314,39618.79973863263
315,39526.76069946329
316,39460.8692549138
317,39325.266584731624
318,39426.34061253939
319,39180.46770630957
320,38601.980211417234
321,38193.241648830386
322,37740.94594906063
323,37152.85887489971
324,37115.27307778297
325,36488.61119851307
326,36507.58782243573
327,36144.41550698725
328,36314.70703828926
329,36333.360818071
330,36069.01998906211
331,36104.16245512646
332,35702.85442427778
333,36037.177346132055
334,36325.743399259154
335,38067.316268195005
336,39653.19994705018
337,39390.5145159453
338,39193.83200383067
339,39030.89818273928
340,38985.6118234409
341,38914.73496533839
342,38956.090958469336
343,38826.31445482146
344,38653.703543979056
345,38536.21404178421
346,37865.4241686841
347,37668.221430214886
348,37347.50811474677
349,37369.552526184205
350,36944.617649492364
351,36703.55952295371
352,36714.3852061418
353,36412.783688266674
354,36582.72539864364
355,36373.802969391836
356,36480.958227881216
357,36513.00431495653
358,36792.722952311284
359,38683.51253650835
360,39758.98655097005
361,39666.486532104944
362,39423.28320164913
363,39318.51218115635
364,39325.73690453032
365,39369.14926051982
366,39282.875035202975
367,39584.28140300209
368,40142.70298571227
369,38698.08132057402
370,38230.390360921
371,37715.88376385886
372,37536.123550636825
373,37400.72671745621
374,36902.44491454777
375,36631.23650170654
