,0
0,39931.217470696676
1,39893.41163385063
2,39840.55577049335
3,39708.08958303225
4,39831.07624287326
5,39842.07064232371
6,39950.187024343504
7,40664.761829026305
8,40532.06947632377
9,39018.33357520501
10,38330.73580161106
11,37619.16454272759
12,37308.879822660776
13,36638.33651970553
14,36143.053009352574
15,35628.12138998381
16,35305.2356478855
17,35074.02866786428
18,34828.0171220381
19,35261.22204365757
20,35549.31759150772
21,36123.81769011171
22,36380.99647977173
23,37904.617038244505
24,39690.72026088829
25,39601.673737163765
26,39516.1910954057
27,39576.59528830656
28,39709.468243249794
29,39675.367352368026
30,39823.96376376291
31,40387.10707856715
32,40265.516328364676
33,38955.37317490948
34,38048.530266538626
35,37481.867127092126
36,37303.15436063285
37,36481.64578385071
38,36054.40051384263
39,35442.422445780154
40,34735.32380948561
41,34645.10049196598
42,34910.61344338608
43,35349.01405782137
44,35485.591115411895
45,35644.099937582374
46,36193.671012804036
47,37755.10295141288
48,39354.515784138785
49,39414.18389247427
50,39315.253103380244
51,39337.4518147843
52,39533.065756576725
53,39648.723202454756
54,39679.75884449519
55,40222.69001286157
56,39931.3074274703
57,38847.99684854257
58,38030.93383429044
59,37633.39311917959
60,37212.07634649174
61,36640.37714266784
62,35936.960523456546
63,35435.428953396535
64,34926.838419904285
65,34793.690087676965
66,34852.15031555432
67,34926.18161911768
68,35061.38050865384
69,35118.43935525433
70,35438.07007923768
71,36870.55849219436
72,38633.0232735279
73,38802.852993379754
74,38704.80708868203
75,38890.87673112705
76,39013.18920836018
77,39056.31210042615
78,39006.723244981404
79,39163.67469572932
80,38728.35250026765
81,38311.469746277406
82,38095.22457826351
83,37619.426491581675
84,37322.36493464099
85,36479.5516801738
86,36145.76600666312
87,35547.65063616799
88,35389.004744239326
89,35134.081674501154
90,34672.88395076791
91,34717.27532330495
92,34588.52421996343
93,34527.739192662564
94,34674.75688401897
95,36261.482557544005
96,37852.020806562075
97,38103.327088551894
98,38087.812053495996
99,38112.23257328221
100,38206.7591704569
101,38110.23957090385
102,38085.819682763155
103,38013.24429288228
104,38085.26579347377
105,37863.05684316163
106,37545.51488595757
107,37637.4241807139
108,37394.18848958672
109,37446.23674499007
110,36929.75382479383
111,36541.250503366566
112,36539.0000679329
113,35855.87573584069
114,35789.12714984472
115,35790.04110329525
116,35688.45660061924
117,35553.45595961961
118,35953.7415932884
119,37436.43912238891
120,39144.80685726565
121,39074.766302503835
122,39021.47027966942
123,39086.322623355336
124,38986.79222156571
125,39015.15005203825
126,38984.902656669794
127,39541.728495110656
128,39504.84871783306
129,38257.90839432209
130,37568.273939067905
131,37203.49643348453
132,37057.92891603699
133,36840.666376950896
134,36267.61438818591
135,36065.73953107564
136,35356.56906742706
137,35419.71123204022
138,35507.82831023201
139,35677.81188316179
140,36175.290333374665
141,36263.49096514281
142,36736.15822964521
143,38194.21797658695
144,39765.77102705701
145,39680.08108726323
146,39208.5652705133
147,39546.68853756102
148,39531.34226178706
149,39600.17396591546
150,39824.69708888273
151,40363.19920353677
152,40126.109196157086
153,38817.670643919824
154,37819.08635561477
155,37251.47495051874
156,37084.0397460945
157,36548.54973126962
158,36196.57103555429
159,35608.61137260503
160,35190.221864393905
161,35313.85962421935
162,35330.20850402299
163,35719.46224944782
164,35800.90927473844
165,36121.917710109905
166,36578.958536604805
167,38094.66290608713
168,39802.78475980581
169,39561.86304192459
170,39666.83687949303
171,39635.44478085441
172,39709.350765329575
173,39711.64178625084
174,39685.26825679034
175,40092.70500762867
176,40091.58872810854
177,38621.75990204068
178,37481.841755348934
179,37150.678311889336
180,36705.91586344118
181,36248.01877644949
182,35932.385692896365
183,35376.29418294223
184,35132.10884008969
185,35061.01046657543
186,35133.14973823317
187,35242.38240845212
188,35819.710249257725
189,35983.00456431966
190,36480.576645874404
191,38279.780931727924
192,39685.118028899335
193,39822.88960327915
194,39696.75961857552
195,39627.550171917654
196,39670.04093851295
197,39568.58620190844
198,39623.66670348676
199,40385.64138781976
200,40033.1701379802
201,38796.41720547289
202,38080.18735749574
203,37598.79780481864
204,37170.04762148266
205,36915.09304719603
206,36384.10132628156
207,36168.01830746995
208,35410.26861363457
209,35119.66605552312
210,35146.40177950335
211,35348.23776734206
212,35588.57640036404
213,36026.37848760924
214,36253.351425748966
215,37836.632539019694
216,39518.211681896675
217,39647.510067163406
218,38142.58245022231
219,38281.540649280636
220,38273.00300017802
221,38347.59210367011
222,38491.79282653598
223,39104.85433639263
224,39404.727009580965
225,38248.27730900639
226,37889.82461243304
227,37656.78342488263
228,37512.23647465902
229,36903.42487073531
230,36878.46064236939
231,35880.38727744271
232,35152.8346329105
233,35049.06042820897
234,34771.878042460696
235,34814.925716442274
236,35038.23239402443
237,35041.25663809585
238,35282.3902851281
239,37053.87536727344
240,39027.715497956015
241,38343.57810391355
242,38363.83625841933
243,38333.77943591656
244,38395.56226149324
245,38535.33888003443
246,38575.84321944037
247,38937.8652286745
248,38356.2252628617
249,38272.43945188721
250,37825.570473952546
251,37359.584067720265
252,37158.86482910712
253,36834.323725369344
254,36263.59608074821
255,36128.99407758596
256,35945.141038963826
257,35661.406601444294
258,35236.2942134719
259,35197.146616402075
260,34824.5232749075
261,34840.12981716721
262,35155.14495048366
263,36635.72017612143
264,38179.36443619998
265,38579.216172119
266,38436.56771755819
267,38373.65095007489
268,38437.09288357519
269,38539.291363618555
270,38445.152982889784
271,38294.39706114182
272,38296.74158544516
273,37925.072954465
274,37991.94009721188
275,37741.762598868416
276,37538.73781490769
277,37337.60469841922
278,37083.48577147069
279,36906.52753970538
280,36760.78861182978
281,36524.76878287335
282,36218.421851526415
283,36069.13890828893
284,35831.51857701832
285,35734.65919679691
286,36007.94211550181
287,37637.39180076775
288,39356.458873439115
289,39358.67260885813
290,39275.314504402944
291,39203.87715805802
292,39236.88405129864
293,39224.969896845665
294,39256.50694023871
295,39544.43283370498
296,39784.60021757451
297,38695.08824813344
298,37755.428701550576
299,37568.09862957738
300,37145.61480835586
301,36715.66616523492
302,36527.06840710996
303,36183.21545472068
304,35547.69382712005
305,35525.11522096273
306,35431.55508136895
307,35738.97316515355
308,35740.15587503085
309,35981.49397131558
310,36510.71096795157
311,38253.868868307116
312,39655.87593127594
313,39622.17392189781
314,39562.70562242615
315,39496.87515313055
316,39522.72369103563
317,39467.52112876941
318,39569.22290532775
319,40387.809209586725
320,40106.20589712477
321,38937.86538321503
322,38067.34473678099
323,37747.85206476077
324,37416.8403527687
325,36944.40411942009
326,36440.11739566588
327,35722.19778888089
328,35094.511399117975
329,35254.846044945036
330,35243.85779662589
331,35399.51415995581
332,35783.87121770765
333,35941.54309053018
334,36656.48544571109
335,38176.94439351642
336,39761.60132370534
337,39723.42785991588
338,39675.03278386888
339,39579.69747755746
340,39584.888548427225
341,39560.97912872361
342,39641.53657525081
343,40319.45169065172
344,40318.36290396094
345,38880.12851408479
346,38049.90133432476
347,37483.5783190836
348,37218.56210883909
349,36790.75937754224
350,36544.53465128006
351,35910.44895586827
352,35582.67032361512
353,35336.13897060753
354,35144.404214116585
355,35510.59192387006
356,35726.97808601367
357,36072.78194964149
358,36414.70641050011
359,38097.06284106894
360,39673.191023309286
361,39799.60845799288
362,39677.562299056146
363,39623.77327024644
364,39664.392049873015
365,39628.083537709266
366,39690.15588504517
367,40366.72483245181
368,40597.788017701554
369,39097.233259349
370,38318.13783632815
371,37742.76941171497
372,37231.725632407775
373,36987.15757741259
374,36739.27837741254
375,36291.46466379474
376,35432.71188633928
377,34854.4531134123
378,35230.32829822243
379,35330.28780103757
380,35459.45855097697
381,35449.2575641562
382,35999.121585122615
383,37726.10038374006
384,39516.20036326295
385,39292.301618268924
386,39240.65968290396
387,39214.972044367176
388,39253.49606932904
389,39195.76554421558
390,39326.03633647277
391,40239.94393810318
392,40181.5128378199
393,39098.269206768266
394,38542.51343747989
395,37870.14619578618
396,37634.43928315885
397,37215.91925231359
398,36598.808907940285
399,35987.11240865481
400,35334.06080649466
401,35395.304306578764
402,35020.34971863334
403,34964.61016641404
404,35023.46500809847
405,35126.86445073543
406,35382.89223860888
407,37008.82106119742
408,39006.6733683534
409,39074.418317272306
410,38978.35595428804
411,39022.965706916984
412,39096.06438242212
413,39106.42806464129
414,39094.72434270191
415,39282.06455025254
416,38918.33328938687
417,38597.867731858736
418,37943.75305322622
419,37466.53280595205
420,37116.31143506141
421,37097.198625248304
422,36777.40986812028
423,36241.69329140964
424,36115.94791013478
425,35738.874734119265
426,35576.32307061073
427,35819.26879684476
428,35529.290686407214
429,35132.83479247594
430,35305.536653629664
431,36905.30139388029
432,38352.47130391696
433,38541.85826591477
434,38524.12104730937
435,38467.400793546556
436,38551.76891935746
437,38423.15328224776
438,38383.541453326994
439,38454.86218335475
440,38410.31032345419
441,38317.62412835737
442,37920.5456588001
443,37785.24167936882
444,38058.64088085527
445,37692.791274733274
446,37163.63040487467
447,36623.459746581706
448,36426.711357467204
449,36640.241562893214
450,36535.29371324253
451,36316.2376859684
452,36010.382945969664
453,36100.59171541899
454,36343.65577448894
455,37745.63570661722
456,39482.14485834187
457,39473.396106043714
458,39399.24734500421
459,39367.428256761836
460,39341.33736642718
461,39409.44634213356
462,39335.88516877228
463,39713.02377111095
464,40097.10495844266
465,38844.98097651077
466,38214.709437501115
467,37772.472497684066
468,37334.861993442675
469,37082.70122642635
470,36406.97001390755
471,35842.351845355624
472,35398.006742992664
473,35439.08953555569
474,35325.07198949741
475,35672.814788716074
476,35787.46786770532
477,36055.24796682144
478,36474.63878905255
479,38213.52004518837
480,39791.24306626538
481,39749.978906083496
482,39665.10962909577
483,39615.75982023579
484,39704.07337652862
485,39693.4974277268
486,39738.329645769256
487,40506.66691003631
488,40275.05878420612
489,39041.83347389858
490,38234.49813723054
491,37674.99268363069
492,37454.214324816574
493,37034.01739689719
494,36632.171808592255
495,35794.88874730057
496,35071.700323043384
497,35278.34520748869
498,35522.70755697928
499,35728.17576271194
500,36174.489682556334
501,36254.608748619656
502,36616.33580350499
503,38177.81133899355
504,39713.61127837019
505,39744.90943074054
506,39643.25688313448
507,39663.18327451338
508,39703.40190811556
509,39679.77543252967
510,39691.96559489807
511,40347.31518968077
512,39407.535201126186
513,38545.39040713773
514,37688.65343607503
515,37489.48324453354
516,36767.071954646526
517,36319.84975509983
518,35828.92841772895
519,35106.824201615644
520,34962.44254767987
521,35244.83238188387
522,35357.59947467839
523,35581.366096850834
524,35812.141989774005
525,36096.19579104351
526,36294.05085689916
527,37880.52640915508
528,39692.05018863386
529,39481.0751028702
530,39502.319887566104
531,39442.034174059445
532,39538.770224074746
533,39549.510584261254
534,39578.70839369321
535,39925.32919308238
536,39027.41772700599
537,37711.38862037746
538,36929.69118072421
539,36120.80623415029
540,36108.85875243856
541,35602.04004572494
542,35108.428584304915
543,34711.137792624664
544,34831.56087576813
545,34826.70821383169
546,34913.78253995296
547,35123.58886598634
548,35743.11901655109
549,35760.74092195681
550,36224.91337035901
551,37956.193300500585
552,39481.01852206516
553,39463.09932321323
554,39294.50373368527
555,39309.95110773381
556,39459.462879102626
557,39434.81011325719
558,39566.95601798309
559,39654.426544870046
560,38398.52628389046
561,37414.89945642943
562,36634.45996795814
563,36289.65299512479
564,36154.62875824612
565,35666.035979776396
566,34906.585672333684
567,34741.15535488116
568,34854.94494859115
569,35158.321521893005
570,34888.63671303392
571,35333.18377357095
572,35412.44613513797
573,35513.582036736414
574,35964.43080947895
575,37478.00430307462
576,39035.31571165025
577,39132.10678791623
578,38998.36837034038
579,39064.480018103946
580,39100.43377314138
581,39073.546208309956
582,39183.63733194497
583,38805.402824525736
584,38492.777710298506
585,37973.81363679895
586,37435.236215556884
587,37220.57030039344
588,37239.27535196328
589,36433.473447835255
590,36217.45345165074
591,36069.83677709094
592,36191.74575881071
593,35776.69834437573
594,35896.170237265
595,35528.65364158213
596,35607.56021482803
597,35666.521491038206
598,35641.572703088896
599,36927.30193552027
600,38293.49148182785
601,38672.00418848305
602,38665.52226805555
603,38499.84061252567
604,38576.73353637171
605,38621.12915257123
606,38692.06998302853
607,38598.03032417669
608,38556.98933735324
609,38501.86394585329
610,38337.06056009525
611,38256.60300176529
612,37935.75952271446
613,38017.14270242765
614,37386.27626705741
615,37120.95148044969
616,36747.95504642898
617,36823.9525728871
618,36703.06610989264
619,36484.92719236156
620,36479.029698805214
621,36382.720935440855
622,36553.465539155484
623,37781.259106786405
624,39479.658704755515
625,39967.80689457832
626,39947.28465931741
627,39890.55799899928
628,39885.54659066919
629,39957.47679276314
630,39856.84557956628
631,40270.20395826523
632,40650.632018861244
633,39225.48389166836
634,38605.44909179004
635,38015.35024056836
636,37691.78031256051
637,37377.86861172069
638,36779.35555430585
639,36294.75221950478
640,35896.70480237982
641,35700.697361855586
642,35702.431896934206
643,35865.859795750075
644,36115.55877424607
645,36420.602475622596
646,36937.19986250507
647,38434.89249059906
648,40441.41017070286
649,39988.322252448525
650,39865.28211124754
651,39908.90404543923
652,39926.20036800609
653,39969.17290075818
654,40040.05568693234
655,40636.851806057806
656,40606.04633448434
657,39305.86171688962
658,38176.01753482786
659,37545.872210279435
660,37395.342466282455
661,36867.11847882501
662,36532.044682739484
663,35937.85206072871
664,35212.2730471821
665,35327.37912923777
666,35542.07411592381
667,35868.714668435656
668,36015.69637325448
669,36326.25024798994
670,36705.38923663143
671,38491.87095656841
672,39778.63055495079
673,39667.69138047261
674,39668.888644901
675,39573.62410076783
676,39598.88886532149
677,39702.88676144814
678,39653.9538981367
679,40296.270655385575
680,40348.31213061578
681,39088.49269583394
682,38041.610689551635
683,37744.13487014273
684,37435.68594398806
685,36991.35764567348
686,36675.64737196558
687,35903.621427565406
688,35058.76964722608
689,35455.56829287734
690,35487.637973122655
691,35947.62653310687
692,36178.4470985661
693,36096.64375116287
694,36522.387361394576
695,38293.179897846436
696,39735.18755681687
697,39675.86800393207
698,39653.43419950644
699,39609.24763508507
700,39647.504585559196
701,39605.06424015542
702,39721.61840413576
703,40267.493467825436
704,40311.30956729654
705,39211.83929987127
706,38240.06313210224
707,38043.56677078296
708,37670.49355757851
709,37093.80594380769
710,36562.05639370478
711,35776.40866638348
712,35004.89058205024
713,35279.375744470824
714,35624.73554151183
715,36050.80289520282
716,35797.55278174178
717,36323.909567308154
718,36455.87700044461
719,38265.34788173781
720,39614.5936149566
721,39517.653352524794
722,39447.34471059609
723,39454.83760557156
724,39407.76593167416
725,39416.407560688844
726,39541.5137497536
727,39982.65554107547
728,40335.377108690685
729,39351.342078025504
730,38548.13200480102
731,38338.619573286654
732,37774.3661498997
733,37272.77111642552
734,36710.02736006456
735,35969.33060389032
736,35572.13683593843
737,35483.32230481642
738,35539.01386242775
739,35406.562453970364
740,35875.4821113061
741,35542.510319345
742,35940.423705866575
743,37513.549581594925
744,39146.723092843626
745,39567.07439608849
746,39538.44081347521
747,39357.488288750355
748,39448.10529223544
749,39434.199075462624
750,39433.70693311548
751,39791.14094853231
752,39392.014404447735
753,39011.01882381187
754,38665.13736640108
755,38386.103687040326
756,38305.125927191686
757,37670.83837908079
758,37021.44617886857
759,36735.95184993043
760,36481.67576735722
761,35908.73802793704
762,35640.92118949373
763,35870.34587860543
764,35790.78287701541
765,35760.31330748424
766,35861.77390927824
767,37204.56936965888
768,39248.09622565631
769,38993.26338587745
770,38883.535216702534
771,38935.882771196215
772,38975.2034401014
773,39011.288056687794
774,38980.28103286361
775,38957.675817249496
776,38928.488535303506
777,38831.81201359021
778,38743.969274870964
779,38618.546294368316
780,38230.97285016883
781,37589.47468069663
782,37398.10717861366
783,36850.49315541006
784,36659.86447457879
785,36565.29857562729
786,36448.43768233952
787,36619.96375966885
788,36365.37925293445
789,36351.08911500861
790,36445.92969783626
791,37957.64016734006
792,39603.86002517843
793,39728.23336936449
794,39743.923461264625
795,39680.433449241995
796,39685.6906410634
797,39754.989247944664
798,39713.15438422709
799,40138.813656336424
800,39903.1403150298
801,38795.26364316401
802,37872.5154242468
803,37422.767139444
804,37071.58129087913
805,36738.40609752035
806,36292.28216958957
807,35984.17383934109
808,35540.0294851214
809,35531.10920636211
810,35880.90883563753
811,35964.5442176162
812,36163.65180320498
813,36330.27026889078
814,36428.731826717165
815,38529.734488126895
816,39986.22586304738
817,39886.13933604533
818,39943.240883372324
819,39973.5611441008
820,40061.89877140759
821,39964.09747611053
822,40029.906559166055
823,40396.03229806381
824,39999.90790838605
825,38619.56927288528
826,37610.04414014277
827,37245.85519074804
828,37094.188352403784
829,36635.00834242661
830,36059.357626267956
831,35819.30441833439
832,35257.46927619053
833,35448.85676203671
834,35625.6980766491
835,36140.67439584421
836,36202.748264881586
837,35991.88375957191
838,36596.69449532287
839,38223.957485707586
840,39790.96184000953
841,39847.98131171179
842,39830.256495219175
843,39780.79920604645
844,39359.96234042671
845,39404.562516893275
846,39383.23101492375
847,39933.87389941029
848,40045.69192974224
849,38704.16509735558
850,38081.031369020515
851,37635.86511914021
852,37376.30873591499
853,36920.43536027081
854,36907.880352090215
855,36087.72437949608
856,35661.82269574965
857,35928.29310394111
858,35706.54220631508
859,36030.56115111585
860,35935.952855894815
861,36081.73100433002
862,36672.83245512076
863,38249.057555211395
864,39736.74507993333
865,39797.261489699275
866,39749.12479027714
867,39459.336929639925
868,39571.11645526495
869,39532.399784318644
870,39674.238330933644
871,40331.630553609066
872,40505.43318617059
873,39226.44760998831
874,38726.81356068358
875,38130.26286824935
876,37851.89402144818
877,37313.87378720208
878,36744.87537540625
879,36340.19535042367
880,35694.538620836036
881,35588.0333293104
882,35657.62600707679
883,36005.811810088526
884,36203.10912487791
885,36362.709844015175
886,36594.17051184069
887,38202.26334971836
888,39812.1157900995
889,39763.239103867745
890,39665.68189723761
891,39684.77482118244
892,39758.04598518579
893,39664.80813110323
894,39756.50974892586
895,40459.80547642707
896,40484.42308020549
897,39549.47531154016
898,38639.76724515157
899,38316.894059307364
900,37876.26512434295
901,37096.05169528331
902,36753.14017024644
903,36363.11645721824
904,35740.59795575287
905,35669.282425562764
906,35829.215922844654
907,35549.27798833634
908,35539.5118300145
909,35517.24133641969
910,36085.828769014355
911,37577.32069751249
912,39284.11684544424
913,39229.61600181874
914,39261.627266159114
915,39215.130093562286
916,39260.00261429276
917,39290.41754924401
918,39414.409133572415
919,39697.80369000585
920,39450.773356515645
921,38946.25919929742
922,38705.82640630044
923,38479.91330524478
924,38012.387060727386
925,37262.72862040619
926,37123.95323478386
927,36458.00398675921
928,36273.7246336678
929,36497.53315709584
930,36317.95069840403
931,36284.03580827556
932,35827.66317000217
933,35888.337413322755
934,36041.337941047714
935,37413.79625266067
936,38508.10538250029
937,38859.40502646481
938,38683.67292882941
939,38738.04283291152
940,38778.98586254775
941,38821.34575527291
942,38835.89717242837
943,38808.25815432952
944,38807.53405127836
945,38875.54654438775
946,38724.30000795616
947,38680.4132584269
948,38194.15238993528
949,38126.33924857509
950,37646.84875765154
951,37191.71676417423
952,37200.42099476391
953,37176.38607952681
954,37042.204171962956
955,36888.35645193949
956,36639.13439468776
957,36673.453567338925
958,36612.285242668615
959,38114.22069264984
960,39543.88128932309
961,39510.41047784263
962,39459.9239722103
963,39323.078056227874
