1h,1d,7d,28d
39135.6296,39160.4917,47399.0967,43922.2281
39936.7089,39357.3787,47231.4592,43763.4929
39713.8903,39256.5031,47422.7713,43561.5708
39838.4925,39375.7449,47489.3674,43928.9929
40121.4797,39571.1807,47749.102,44150.2973
40388.8146,39389.851,48093.796,44547.9317
40487.0237,39890.4834,47772.0521,45348.3932
40720.0573,40352.9456,47972.4923,45178.6128
41037.6989,40566.9414,48140.3608,45455.4749
41775.3137,40244.26,47667.6502,44661.6897
41084.1831,39654.3199,47722.4696,44513.9113
41286.2569,40701.3266,47238.7522,44255.6104
40957.7263,40971.3636,47144.8102,44359.652
40857.5863,40051.2972,47180.3058,44119.7113
40307.4069,39717.9698,45812.1857,43243.8835
40139.2428,40347.9102,45499.5993,43498.6188
40363.7586,39841.0559,45387.4699,43685.3524
40766.5966,39733.8892,45650.373,43433.434
40340.2525,39774.9728,45522.7508,43708.376
40903.0123,39559.9364,46677.0873,43819.0265
41145.6347,39964.6629,47545.8988,44407.7706
41650.3297,40661.8251,48379.4192,45155.5233
42492.472,40519.7486,48877.1944,45558.9485
42880.4836,39135.6296,48465.7117,46412.9566
42424.7459,39936.7089,49053.9668,46765.7221
43182.9925,39713.8903,49100.7727,46885.2286
43642.4513,39838.4925,48964.2208,46755.7973
43753.6581,40121.4797,49102.7285,46884.477
43799.2381,40388.8146,48923.8087,47254.1762
44186.9326,40487.0237,49139.3509,47367.6296
44300.1968,40720.0573,49425.9665,47407.3461
44587.4895,41037.6989,49349.5627,46769.2059
45536.6247,41775.3137,47162.1729,43585.4447
45345.4537,41084.1831,46379.6979,42301.5631
44925.141,41286.2569,45445.3043,41179.432
45542.5049,40957.7263,44799.6116,40516.6722
45207.9448,40857.5863,44552.5988,39917.0812
44876.6773,40307.4069,43982.0794,40008.9554
44003.6995,40139.2428,43719.2862,39078.9738
43315.6897,40363.7586,43088.098,38425.9296
42348.8922,40766.5966,44369.5503,39488.8975
42519.903,40340.2525,43473.0956,39057.3079
42229.8251,40903.0123,44346.2323,40374.213
42803.3095,41145.6347,44777.8836,41324.4436
43517.3908,41650.3297,46138.225,42835.2063
43944.2463,42492.472,47046.2191,44342.8644
45562.1367,42880.4836,48450.4466,45370.0579
46489.1595,42424.7459,48670.0087,46597.8178
46501.4056,43182.9925,48850.1513,46717.8662
46589.2983,43642.4513,48891.8935,46782.8296
46801.7668,43753.6581,49177.4859,46940.8018
47001.0253,43799.2381,49317.3734,46964.5325
47077.8881,44186.9326,48129.1089,47439.9548
47603.6497,44300.1968,48413.7007,47508.1101
47457.6449,44587.4895,48408.8817,47495.3731
47670.5933,45536.6247,48932.9364,46888.6301
47195.6824,45345.4537,46878.4189,43958.2713
46233.2605,44925.141,45521.9164,42528.9485
44635.9697,45542.5049,44944.2065,42253.7884
44319.5574,45207.9448,44160.0298,40852.4952
43888.0256,44876.6773,44447.8258,40704.1184
43651.9936,44003.6995,43655.9545,39856.3959
44072.0746,43315.6897,43315.1699,39434.3024
43507.0069,42348.8922,43233.7746,38926.1639
42546.374,42519.903,44059.4586,39749.9063
42903.3256,42229.8251,43667.0052,39747.6968
42546.5515,42803.3095,43751.0818,39968.4063
42766.5153,43517.3908,44587.6312,41101.0666
43534.9448,43944.2463,45669.4527,42339.1574
45002.7022,45562.1367,47181.61,44089.8865
46894.9838,46489.1595,48132.1237,45123.3836
48158.465,46501.4056,47397.145,46543.3428
47434.9343,46589.2983,48283.8086,47086.7516
48000.363,46801.7668,48164.0655,47211.0277
48106.5921,47001.0253,48437.6334,47495.5697
48236.7101,47077.8881,48560.4958,47627.5846
47776.4061,47603.6497,49052.4022,47753.3066
48428.7619,47457.6449,49196.6232,47852.6187
48527.7713,47670.5933,49729.7222,48058.8324
48580.7181,47195.6824,49373.5582,46909.1183
48725.2553,46233.2605,47305.743,44045.5501
47262.6186,44635.9697,46298.478,42299.458
45939.5342,44319.5574,45078.0591,41640.3235
44417.8222,43888.0256,44154.3475,41182.1072
43542.6132,43651.9936,43816.3829,41049.5119
43894.1092,44072.0746,43889.9387,39837.2119
43490.259,43507.0069,43110.5488,38871.3802
42764.4506,42546.374,43398.4159,38261.3435
41646.4065,42903.3256,42678.0484,39475.1703
42912.7409,42546.5515,42683.7133,40212.4995
42393.3738,42766.5153,42676.4563,40652.0822
42954.3435,43534.9448,44510.0097,41439.4426
44521.7288,45002.7022,44618.8654,42180.709
45411.0563,46894.9838,44965.3146,43812.296
46549.5254,48158.465,46181.25,45015.6473
47555.3299,47434.9343,46417.1835,45911.5922
47725.8685,48000.363,46961.054,46271.3673
48204.2337,48106.5921,47115.4083,46610.9617
48507.7096,48236.7101,47467.9484,46728.5045
48674.1004,47776.4061,47540.4708,46907.1853
48643.0351,48428.7619,48169.2525,47240.7169
48685.3867,48527.7713,48016.8917,47232.1649
48540.2806,48580.7181,48035.5314,47168.3617
48923.5469,48725.2553,48534.2131,46699.6937
49380.1922,47262.6186,46145.2062,43858.5153
48319.5995,45939.5342,45265.6797,42668.34
47273.5513,44417.8222,44429.5734,42160.8189
46306.3136,43542.6132,43489.2208,40948.6423
44672.5354,43894.1092,42956.5532,40712.8368
44610.4401,43490.259,42307.233,39773.2054
44100.0853,42764.4506,42118.36,39268.6282
43641.7403,41646.4065,42440.444,39373.0617
42960.5217,42912.7409,43016.5152,39831.1275
44009.9806,42393.3738,43172.9454,40501.0855
44093.6849,42954.3435,43081.8457,40519.9723
44033.2184,44521.7288,43518.8288,41573.129
44905.0268,45411.0563,43912.0573,42414.5447
46090.4611,46549.5254,44381.7299,44151.5474
47395.4839,47555.3299,44413.898,44927.8401
48138.7619,47725.8685,42385.3692,46411.5199
47757.2408,48204.2337,42996.6606,46648.548
48474.1966,48507.7096,42962.0557,46833.3944
48724.3146,48674.1004,42999.509,46194.1998
48916.7844,48643.0351,42905.9993,46152.5598
49209.5134,48685.3867,43351.3776,46776.7673
49446.0755,48540.2806,43086.3257,46553.687
49310.2807,48923.5469,42932.7242,46707.349
49507.3539,49380.1922,42743.2836,45965.3561
50167.7158,48319.5995,42215.216,43644.4045
49284.8782,47273.5513,41779.0726,42156.4403
47480.0684,46306.3136,41992.4879,41726.8861
46203.2886,44672.5354,41596.7102,40426.6213
45415.6548,44610.4401,41034.9877,40247.9236
44999.1676,44100.0853,40822.0539,40608.6817
44628.4239,43641.7403,40399.9674,39289.5986
44239.1345,42960.5217,40304.1114,39596.7526
43465.4716,44009.9806,40162.0373,39360.3511
43770.519,44093.6849,39903.8286,39410.6998
43448.7521,44033.2184,39377.8909,40104.509
44093.5647,44905.0268,39455.2359,40842.2411
44996.3898,46090.4611,39641.8553,41962.1149
45614.3899,47395.4839,39904.7504,42205.0653
46261.7722,48138.7619,40335.1232,43462.506
47024.2414,47757.2408,38819.9484,44896.184
47097.0868,48474.1966,39160.4917,45473.5373
47744.1889,48724.3146,39357.3787,45881.6978
48136.8375,48916.7844,39256.5031,46043.409
48339.1947,49209.5134,39375.7449,46196.884
48614.0046,49446.0755,39571.1807,46486.5784
49197.131,49310.2807,39389.851,46610.2259
49428.4056,49507.3539,39890.4834,46836.0743
49339.4405,50167.7158,40352.9456,46891.6337
49495.3262,49284.8782,40566.9414,46474.4858
49743.4112,47480.0684,40244.26,45999.4882
49906.5917,46203.2886,39654.3199,45275.4259
49640.5872,45415.6548,40701.3266,45284.232
49166.7938,44999.1676,40971.3636,43202.8874
47700.4887,44628.4239,40051.2972,41948.5652
47263.442,44239.1345,39717.9698,42154.5263
46781.7307,43465.4716,40347.9102,41758.0223
46073.9017,43770.519,39841.0559,41066.4502
45732.4387,43448.7521,39733.8892,40789.6192
45076.6053,44093.5647,39774.9728,40456.9303
44933.8736,44996.3898,39559.9364,40780.983
45152.2984,45614.3899,39964.6629,41455.0618
45891.0557,46261.7722,40661.8251,42276.5449
46962.7529,47024.2414,40519.7486,43217.2789
47484.6087,47097.0868,39135.6296,44346.368
46759.2372,47744.1889,39936.7089,45343.5803
47742.7332,48136.8375,39713.8903,45360.8773
48003.7601,48339.1947,39838.4925,45406.4553
48159.4686,48614.0046,40121.4797,45714.8724
48379.1298,49197.131,40388.8146,45893.9595
48634.0916,49428.4056,40487.0237,46077.6202
48969.9433,49339.4405,40720.0573,45956.3262
48848.9506,49495.3262,41037.6989,45986.5477
49100.7428,49743.4112,41775.3137,46067.0459
49541.5105,49906.5917,41084.1831,45514.7617
49279.3906,49640.5872,41286.2569,45593.7857
48919.539,49166.7938,40957.7263,45413.5072
48466.1182,47700.4887,40857.5863,45690.3579
48364.0877,47263.442,40307.4069,45024.8393
47430.4251,46781.7307,40139.2428,44008.5865
46803.1625,46073.9017,40363.7586,43358.7057
46380.2632,45732.4387,40766.5966,42910.526
45828.5276,45076.6053,40340.2525,43058.4161
45559.4933,44933.8736,40903.0123,43715.4437
46483.3797,45152.2984,41145.6347,44166.2116
46920.2333,45891.0557,41650.3297,44440.0732
47588.0659,46962.7529,42492.472,45145.0191
48419.9006,47484.6087,42880.4836,45780.2295
48952.5772,46759.2372,42424.7459,47063.8276
48282.9007,47742.7332,43182.9925,47624.4334
48629.398,48003.7601,43642.4513,47477.7608
48932.5539,48159.4686,43753.6581,47356.0664
48788.4294,48379.1298,43799.2381,47449.2047
48980.6415,48634.0916,44186.9326,47715.7001
49014.2843,48969.9433,44300.1968,47845.1175
49102.8251,48848.9506,44587.4895,47818.6406
49073.1706,49100.7428,45536.6247,48032.9246
49968.0002,49541.5105,45345.4537,45152.4765
47826.1826,49279.3906,44925.141,43226.4605
45569.4863,48919.539,45542.5049,42236.671
44478.1293,48466.1182,45207.9448,41375.0924
43703.6925,48364.0877,44876.6773,40912.5685
44367.4062,47430.4251,44003.6995,40088.7038
42978.4206,46803.1625,43315.6897,40471.4906
42786.2347,46380.2632,42348.8922,39808.2376
42113.3531,45828.5276,42519.903,39752.015
42557.0591,45559.4933,42229.8251,40559.8801
42641.6164,46483.3797,42803.3095,41260.1601
43879.0732,46920.2333,43517.3908,42134.7238
45253.7991,47588.0659,43944.2463,43384.9226
46243.752,48419.9006,45562.1367,44662.4208
47954.516,48952.5772,46489.1595,45542.57
49174.8372,48282.9007,46501.4056,46573.2623
48239.3756,48629.398,46589.2983,46930.141
48653.7356,48932.5539,46801.7668,46997.3777
48865.5679,48788.4294,47001.0253,46939.4629
49139.3862,48980.6415,47077.8881,47182.6315
49114.9007,49014.2843,47603.6497,47368.2774
49282.6926,49102.8251,47457.6449,47177.114
49228.3666,49073.1706,47670.5933,47634.9301
49601.8875,49968.0002,47195.6824,47848.5172
49074.8245,47826.1826,46233.2605,45003.161
47480.8035,45569.4863,44635.9697,43694.5583
46358.1185,44478.1293,44319.5574,43346.6903
45265.172,43703.6925,43888.0256,41521.8093
44502.6777,44367.4062,43651.9936,41544.4429
45166.6216,42978.4206,44072.0746,40762.6401
43875.397,42786.2347,43507.0069,39427.8581
42800.6994,42113.3531,42546.374,39213.6393
42264.0123,42557.0591,42903.3256,39602.6114
43078.7825,42641.6164,42546.5515,39497.7352
43176.0421,43879.0732,42766.5153,40526.2942
43806.1807,45253.7991,43534.9448,40751.9917
44630.1624,46243.752,45002.7022,41845.631
46265.738,47954.516,46894.9838,43564.2337
47455.6984,49174.8372,48158.465,45058.6396
48409.6867,48239.3756,47434.9343,46518.112
48104.3625,48653.7356,48000.363,46914.9958
48593.69,48865.5679,48106.5921,46977.7567
48642.2548,49139.3862,48236.7101,47090.3631
48869.8081,49114.9007,47776.4061,46992.4299
49136.979,49282.6926,48428.7619,47195.3218
49323.7566,49228.3666,48527.7713,47517.2386
49389.1322,49601.8875,48580.7181,47702.8014
49820.6097,49074.8245,48725.2553,47886.3163
49673.3601,47480.8035,47262.6186,44831.8564
46975.9483,46358.1185,45939.5342,43861.8249
46397.6075,45265.172,44417.8222,44431.119
45792.8314,44502.6777,43542.6132,43058.0773
44183.1046,45166.6216,43894.1092,42256.0437
44567.1673,43875.397,43490.259,41790.9426
44172.2499,42800.6994,42764.4506,41190.8087
43808.441,42264.0123,41646.4065,40303.2519
42774.6409,43078.7825,42912.7409,40938.5599
43678.4974,43176.0421,42393.3738,41482.6974
43899.3819,43806.1807,42954.3435,41665.2248
44248.9671,44630.1624,44521.7288,42654.3193
45332.0084,46265.738,45411.0563,43006.3907
45560.6691,47455.6984,46549.5254,44857.0177
47112.0955,48409.6867,47555.3299,45913.9557
48642.4786,48104.3625,47725.8685,46406.5114
48023.8807,48593.69,48204.2337,46962.2829
48708.9846,48642.2548,48507.7096,47126.8971
48896.2069,48869.8081,48674.1004,46989.3424
48926.29,49136.979,48643.0351,47071.0136
49165.2957,49323.7566,48685.3867,47367.9363
49703.0074,49389.1322,48540.2806,47080.4642
49412.9747,49820.6097,48923.5469,47280.6836
49310.6796,49673.3601,49380.1922,47251.2634
49663.2315,46975.9483,48319.5995,44823.8411
47928.5161,46397.6075,47273.5513,43267.9466
45955.1382,45792.8314,46306.3136,43186.7367
44424.1306,44183.1046,44672.5354,41586.6637
43421.4605,44567.1673,44610.4401,41441.9183
43881.382,44172.2499,44100.0853,40860.9078
43145.5042,43808.441,43641.7403,40242.8571
42706.413,42774.6409,42960.5217,39782.2217
42419.4077,43678.4974,44009.9806,40150.6308
42526.0475,43899.3819,44093.6849,40101.098
42648.1027,44248.9671,44033.2184,41098.0591
43319.7147,45332.0084,44905.0268,42150.2299
45074.1427,45560.6691,46090.4611,43243.4436
46090.2403,47112.0955,47395.4839,44124.5117
47316.7869,48642.4786,48138.7619,44679.7372
48047.2215,48023.8807,47757.2408,46131.5067
47656.3535,48708.9846,48474.1966,46068.1115
48263.9251,48896.2069,48724.3146,46820.3263
48225.7633,48926.29,48916.7844,47326.0443
48457.9213,49165.2957,49209.5134,46959.0033
48671.901,49703.0074,49446.0755,47371.152
48548.9052,49412.9747,49310.2807,47567.6991
48825.1604,49310.6796,49507.3539,47953.6263
49196.5009,49663.2315,50167.7158,48058.1358
48990.5427,47928.5161,49284.8782,45932.5868
47280.3095,45955.1382,47480.0684,45232.1145
45929.6306,44424.1306,46203.2886,43741.3756
45401.6244,43421.4605,45415.6548,42376.8876
43839.9002,43881.382,44999.1676,42722.3479
44149.4794,43145.5042,44628.4239,42596.2942
43619.002,42706.413,44239.1345,42294.7392
43323.6855,42419.4077,43465.4716,41966.6968
43125.0625,42526.0475,43770.519,42165.3956
43811.5129,42648.1027,43448.7521,42182.3643
43696.8942,43319.7147,44093.5647,41821.1745
43344.8826,45074.1427,44996.3898,43575.8377
44313.7963,46090.2403,45614.3899,44602.3034
45045.5595,47316.7869,46261.7722,45043.4253
46375.9269,48047.2215,47024.2414,45960.4227
47420.1435,47656.3535,47097.0868,47467.7314
46915.6203,48263.9251,47744.1889,48293.8007
